QID,SSID,Wordnet Lemmas,Wikidata Labels,Count,Accept,Notes,Extra Type
http://www.wikidata.org/entity/Q178561,https://en-word.net/id/oewn-00983266-n,amphibious operation,"battle, combat, ⚔",8,FALSE,,
http://www.wikidata.org/entity/Q178561,https://en-word.net/id/oewn-00960588-n,naval battle,"battle, combat, ⚔",6,FALSE,,
http://www.wikidata.org/entity/Q39594,https://en-word.net/id/oewn-09248053-n,"body of water, water","bay, bays, embayment",47,FALSE,,
http://www.wikidata.org/entity/Q39594,https://en-word.net/id/oewn-09238571-n,"bay, embayment","bay, bays, embayment",30,TRUE,,
http://www.wikidata.org/entity/Q39594,https://en-word.net/id/oewn-09319027-n,gulf,"bay, bays, embayment",14,FALSE,,
http://www.wikidata.org/entity/Q15273785,https://en-word.net/id/oewn-08643858-n,municipality,"Belgian municipality with the title of city, City of Belgium",7,FALSE,,
http://www.wikidata.org/entity/Q15273785,https://en-word.net/id/oewn-08693705-n,"urban area, populated area","Belgian municipality with the title of city, City of Belgium",7,FALSE,,
http://www.wikidata.org/entity/Q15273785,https://en-word.net/id/oewn-08508836-n,"administrative district, administrative division, territorial division","Belgian municipality with the title of city, City of Belgium",7,FALSE,,
http://www.wikidata.org/entity/Q15273785,https://en-word.net/id/oewn-08591861-n,"geographical area, geographic area, geographical region, geographic region","Belgian municipality with the title of city, City of Belgium",7,FALSE,,
http://www.wikidata.org/entity/Q15273785,https://en-word.net/id/oewn-08569713-n,"district, territory, territorial dominion, dominion","Belgian municipality with the title of city, City of Belgium",7,FALSE,,
http://www.wikidata.org/entity/Q15273785,https://en-word.net/id/oewn-08648560-n,region,"Belgian municipality with the title of city, City of Belgium",7,FALSE,,
http://www.wikidata.org/entity/Q15273785,https://en-word.net/id/oewn-00027365-n,location,"Belgian municipality with the title of city, City of Belgium",7,FALSE,,
http://www.wikidata.org/entity/Q15273785,https://en-word.net/id/oewn-08542298-n,"city, metropolis, urban center","Belgian municipality with the title of city, City of Belgium",6,TRUE,,
http://www.wikidata.org/entity/Q1549591,https://en-word.net/id/oewn-08648560-n,region,"big city, city 100000+",651,FALSE,,
http://www.wikidata.org/entity/Q1549591,https://en-word.net/id/oewn-00027365-n,location,"big city, city 100000+",651,FALSE,,
http://www.wikidata.org/entity/Q1549591,https://en-word.net/id/oewn-08569713-n,"district, territory, territorial dominion, dominion","big city, city 100000+",651,FALSE,,
http://www.wikidata.org/entity/Q1549591,https://en-word.net/id/oewn-08643858-n,municipality,"big city, city 100000+",650,FALSE,,
http://www.wikidata.org/entity/Q1549591,https://en-word.net/id/oewn-08693705-n,"urban area, populated area","big city, city 100000+",650,FALSE,,
http://www.wikidata.org/entity/Q1549591,https://en-word.net/id/oewn-08508836-n,"administrative district, administrative division, territorial division","big city, city 100000+",650,FALSE,,
http://www.wikidata.org/entity/Q1549591,https://en-word.net/id/oewn-08591861-n,"geographical area, geographic area, geographical region, geographic region","big city, city 100000+",650,FALSE,,
